WELL,DEPT,SSTVD,Z,NEU,GGKP
12,3038.5512,2162.0425815929,-2162.0425815929,0.2291,2.47
12,3038.7036,2162.15462122499,-2162.15462122499,0.24,2.46
12,3038.856,2162.26666085707,-2162.26666085707,0.2126,2.51
12,3039.0084,2162.37870048916,-2162.37870048916,0.1689,2.49
12,3039.1608,2162.49074012124,-2162.49074012124,0.1633,2.44
12,3039.3132,2162.60277975332,-2162.60277975332,0.1832,2.38
12,3039.4656,2162.71481938541,-2162.71481938541,0.2036,2.35
12,3039.618,2162.82685901749,-2162.82685901749,0.211,2.34
12,3039.7704,2162.93889864958,-2162.93889864958,0.206,2.33
12,3039.9228,2163.05095905068,-2163.05095905068,0.1981,2.36
12,3040.0752,2163.16324596383,-2163.16324596383,0.1933,2.38
12,3040.2276,2163.27553287699,-2163.27553287699,0.1956,2.34
12,3040.38,2163.38781979014,-2163.38781979014,0.2028,2.33
12,3040.5324,2163.5001067033,-2163.5001067033,0.2055,2.39
12,3040.6848,2163.61239361645,-2163.61239361645,0.2072,2.37
12,3040.8372,2163.72468052961,-2163.72468052961,0.2053,2.41
12,3040.9896,2163.83696744276,-2163.83696744276,0.1923,2.38
12,3041.142,2163.94925435592,-2163.94925435592,0.1818,2.37
12,3041.2944,2164.06154126908,-2164.06154126908,0.1737,2.41
12,3041.4468,2164.17382818223,-2164.17382818223,0.1613,2.42
12,3041.5992,2164.28611509539,-2164.28611509539,0.1562,2.45
12,3041.7516,2164.39840200854,-2164.39840200854,0.1545,2.42
12,3041.904,2164.5106889217,-2164.5106889217,0.1559,2.37
12,3042.0564,2164.62297583485,-2164.62297583485,0.1631,2.39
12,3042.2088,2164.73526274801,-2164.73526274801,0.1662,2.41
12,3042.3612,2164.84754966116,-2164.84754966116,0.1636,2.37
12,3042.5136,2164.95983657432,-2164.95983657432,0.1631,2.49
12,3042.666,2165.07212348748,-2165.07212348748,0.1546,2.39
12,3042.8184,2165.18441040063,-2165.18441040063,0.143,2.47
12,3042.9708,2165.29669731379,-2165.29669731379,0.1397,2.4
12,3043.1232,2165.40898422694,-2165.40898422694,0.1407,2.44
12,3043.2756,2165.5212711401,-2165.5212711401,0.1482,2.38
12,3043.428,2165.63355805325,-2165.63355805325,0.163,2.33
12,3043.5804,2165.74584496641,-2165.74584496641,0.1779,2.36
12,3043.7328,2165.85813187957,-2165.85813187957,0.1822,2.32
12,3043.8852,2165.97041879272,-2165.97041879272,0.1815,2.38
