DEPT,SSTVD,Z,GGKP
2601.7728,2129.33815414097,-2129.33815414097,2.56
2601.9252,2129.46493288127,-2129.46493288127,2.56
2602.0776,2129.59171162158,-2129.59171162158,2.55
2602.23,2129.71849036189,-2129.71849036189,2.56
2602.3824,2129.84526910219,-2129.84526910219,2.59
2602.5348,2129.9720478425,-2129.9720478425,2.65
2602.6872,2130.09882658281,-2130.09882658281,2.62
2602.8396,2130.22560532311,-2130.22560532311,2.53
2602.992,2130.35238406342,-2130.35238406342,2.4
2603.1444,2130.47916280373,-2130.47916280373,2.36
2603.2968,2130.60594154403,-2130.60594154403,2.35
2603.4492,2130.73272028434,-2130.73272028434,2.33
2603.6016,2130.85949902465,-2130.85949902465,2.32
2603.754,2130.98627776496,-2130.98627776496,2.32
2603.9064,2131.11306367737,-2131.11306367737,2.33
2604.0588,2131.23993829736,-2131.23993829736,2.31
2604.2112,2131.36681291736,-2131.36681291736,2.31
2604.3636,2131.49368753736,-2131.49368753736,2.3
2604.516,2131.62056215735,-2131.62056215735,2.31
2604.6684,2131.74743677735,-2131.74743677735,2.33
2604.8208,2131.87431139735,-2131.87431139735,2.35
2604.9732,2132.00118601734,-2132.00118601734,2.3
2605.1256,2132.12806063734,-2132.12806063734,2.3
2605.278,2132.25493525734,-2132.25493525734,2.33
2605.4304,2132.38180987733,-2132.38180987733,2.32
2605.5828,2132.50868449733,-2132.50868449733,2.32
2605.7352,2132.63555911733,-2132.63555911733,2.32
2605.8876,2132.76243373732,-2132.76243373732,2.33
2606.04,2132.88930835732,-2132.88930835732,2.34
2606.1924,2133.01624100724,-2133.01624100724,2.36
2606.3448,2133.14321133894,-2133.14321133894,2.35
2606.4972,2133.27018167063,-2133.27018167063,2.33
2606.6496,2133.39715200232,-2133.39715200232,2.32
2606.802,2133.52412233402,-2133.52412233402,2.33
2606.9544,2133.65109266571,-2133.65109266571,2.35
2607.1068,2133.7780629974,-2133.7780629974,2.35
2607.2592,2133.9050333291,-2133.9050333291,2.35
2607.4116,2134.03200366079,-2134.03200366079,2.33
2607.564,2134.15897399249,-2134.15897399249,2.33
2607.7164,2134.28594432418,-2134.28594432418,2.33
2607.8688,2134.41291465587,-2134.41291465587,2.33
2608.0212,2134.53988498757,-2134.53988498757,2.31
2608.1736,2134.66685531926,-2134.66685531926,2.31
2608.326,2134.79383881641,-2134.79383881641,2.36
2608.4784,2134.92090469168,-2134.92090469168,2.36
2608.6308,2135.04797056695,-2135.04797056695,2.36
2608.7832,2135.17503644222,-2135.17503644222,2.38
2608.9356,2135.30210231749,-2135.30210231749,2.34
2609.088,2135.42916819276,-2135.42916819276,2.33
2609.2404,2135.55623406803,-2135.55623406803,2.36
2609.3928,2135.6832999433,-2135.6832999433,2.37
2609.5452,2135.81036581858,-2135.81036581858,2.35
2609.6976,2135.93743169385,-2135.93743169385,2.35
2609.85,2136.06449756912,-2136.06449756912,2.34
2610.0024,2136.19156344439,-2136.19156344439,2.37
2610.1548,2136.31862931966,-2136.31862931966,2.37
2610.3072,2136.44569519493,-2136.44569519493,2.36
2610.4596,2136.5727610702,-2136.5727610702,2.34
2610.612,2136.69989077936,-2136.69989077936,2.36
2610.7644,2136.82705202996,-2136.82705202996,2.37
2610.9168,2136.95421328056,-2136.95421328056,2.41
2611.0692,2137.08137453116,-2137.08137453116,2.42
2611.2216,2137.20853578176,-2137.20853578176,2.43
2611.374,2137.33569703237,-2137.33569703237,2.44
2611.5264,2137.46285828297,-2137.46285828297,2.44
2611.6788,2137.59001953357,-2137.59001953357,2.48
2611.8312,2137.71718078417,-2137.71718078417,2.52
2611.9836,2137.84434203477,-2137.84434203477,2.54
2612.136,2137.97150328538,-2137.97150328538,2.53
2612.2884,2138.09866453598,-2138.09866453598,2.55
2612.4408,2138.22582578658,-2138.22582578658,2.55
2612.5932,2138.35298703718,-2138.35298703718,2.54
2612.7456,2138.48016740414,-2138.48016740414,2.53
2612.898,2138.6074238617,-2138.6074238617,2.56
2613.0504,2138.73468031926,-2138.73468031926,2.59
2613.2028,2138.86193677682,-2138.86193677682,2.6
2613.3552,2138.98919323438,-2138.98919323438,2.61
2613.5076,2139.11644969195,-2139.11644969195,2.63
2613.66,2139.24370614951,-2139.24370614951,2.68
2613.8124,2139.37096260707,-2139.37096260707,2.69
2613.9648,2139.49821906463,-2139.49821906463,2.69
2614.1172,2139.62547552219,-2139.62547552219,2.7
2614.2696,2139.75273197975,-2139.75273197975,2.7
2614.422,2139.87998843731,-2139.87998843731,2.63
2614.5744,2140.00724489487,-2140.00724489487,2.46
2614.7268,2140.13450135243,-2140.13450135243,2.39
2614.8792,2140.26175780999,-2140.26175780999,2.35
2615.0316,2140.38908386265,-2140.38908386265,2.34
2615.184,2140.51643535867,-2140.51643535867,2.35
2615.3364,2140.64378685469,-2140.64378685469,2.35
2615.4888,2140.77113835071,-2140.77113835071,2.35
2615.6412,2140.89848984673,-2140.89848984673,2.38
2615.7936,2141.02584134275,-2141.02584134275,2.38
2615.946,2141.15319283877,-2141.15319283877,2.38
2616.0984,2141.28054433479,-2141.28054433479,2.35
2616.2508,2141.40789583081,-2141.40789583081,2.31
2616.4032,2141.53524732683,-2141.53524732683,2.3
