DEPT,SSTVD,Z,NEU,GGKP
3372.7644,2129.34203300063,-2129.34203300063,0.1934,2.43
3372.9168,2129.43376287594,-2129.43376287594,0.1926,2.41
3373.0692,2129.52549275126,-2129.52549275126,0.1921,2.4
3373.2216,2129.61722262657,-2129.61722262657,0.1949,2.4
3373.374,2129.70895250188,-2129.70895250188,0.1975,2.41
3373.5264,2129.8006823772,-2129.8006823772,0.2035,2.41
3373.6788,2129.89241225251,-2129.89241225251,0.2089,2.42
3373.8312,2129.98414212783,-2129.98414212783,0.2165,2.42
3373.9836,2130.07587200314,-2130.07587200314,0.2228,2.42
3374.136,2130.16760187845,-2130.16760187845,0.2212,2.42
3374.2884,2130.25933175377,-2130.25933175377,0.22,2.42
3374.4408,2130.35106162908,-2130.35106162908,0.2106,2.42
3374.5932,2130.4427915044,-2130.4427915044,0.2025,2.41
3374.7456,2130.53452137971,-2130.53452137971,0.1948,2.4
3374.898,2130.62625125502,-2130.62625125502,0.1891,2.37
3375.0504,2130.71798113034,-2130.71798113034,0.1906,2.36
3375.2028,2130.80971100565,-2130.80971100565,0.1927,2.35
3375.3552,2130.90144088096,-2130.90144088096,0.1963,2.34
3375.5076,2130.99317075628,-2130.99317075628,0.1994,2.34
3375.66,2131.08490063159,-2131.08490063159,0.2023,2.35
3375.8124,2131.17663050691,-2131.17663050691,0.2048,2.36
3375.9648,2131.26836038222,-2131.26836038222,0.2081,2.37
3376.1172,2131.36009025753,-2131.36009025753,0.211,2.38
3376.2696,2131.45182013285,-2131.45182013285,0.2156,2.38
3376.422,2131.54355000816,-2131.54355000816,0.217,2.38
3376.5744,2131.63527988348,-2131.63527988348,0.217,2.38
3376.7268,2131.72700975879,-2131.72700975879,0.2158,2.39
3376.8792,2131.8187396341,-2131.8187396341,0.2063,2.4
3377.0316,2131.91046950942,-2131.91046950942,0.1988,2.41
3377.184,2132.00219938473,-2132.00219938473,0.189,2.41
3377.3364,2132.09392926005,-2132.09392926005,0.1845,2.4
3377.4888,2132.18572523513,-2132.18572523513,0.1825,2.39
3377.6412,2132.27767268291,-2132.27767268291,0.1831,2.39
3377.7936,2132.36962013068,-2132.36962013068,0.1839,2.38
3377.946,2132.46156757846,-2132.46156757846,0.1858,2.38
3378.0984,2132.55351502624,-2132.55351502624,0.1869,2.38
3378.2508,2132.64546247401,-2132.64546247401,0.1875,2.37
3378.4032,2132.73740992179,-2132.73740992179,0.1901,2.36
3378.5556,2132.82935736956,-2132.82935736956,0.1921,2.36
3378.708,2132.92130481734,-2132.92130481734,0.1915,2.36
3378.8604,2133.01325226512,-2133.01325226512,0.1921,2.35
3379.0128,2133.10519971289,-2133.10519971289,0.19,2.35
3379.1652,2133.19714716067,-2133.19714716067,0.1882,2.35
3379.3176,2133.28909460845,-2133.28909460845,0.1876,2.35
3379.47,2133.38104205622,-2133.38104205622,0.1864,2.36
3379.6224,2133.472989504,-2133.472989504,0.1864,2.36
3379.7748,2133.56493695177,-2133.56493695177,0.1869,2.36
3379.9272,2133.65688439955,-2133.65688439955,0.1867,2.36
3380.0796,2133.74883184733,-2133.74883184733,0.1869,2.36
3380.232,2133.8407792951,-2133.8407792951,0.1881,2.37
3380.3844,2133.93272674288,-2133.93272674288,0.1896,2.38
3380.5368,2134.02467419066,-2134.02467419066,0.1917,2.38
3380.6892,2134.11662163843,-2134.11662163843,0.1921,2.39
3380.8416,2134.20856908621,-2134.20856908621,0.1832,2.4
3380.994,2134.30051653398,-2134.30051653398,0.1659,2.41
3381.1464,2134.39246398176,-2134.39246398176,0.1446,2.42
3381.2988,2134.48441142954,-2134.48441142954,0.1107,2.44
3381.4512,2134.57635887731,-2134.57635887731,0.09,2.46
3381.6036,2134.66830632509,-2134.66830632509,0.0547,2.47
3381.756,2134.76025377287,-2134.76025377287,0.038,2.49
3381.9084,2134.85220122064,-2134.85220122064,0.0274,2.52
3382.0608,2134.94414866842,-2134.94414866842,0.0237,2.54
3382.2132,2135.03609611619,-2135.03609611619,0.0336,2.56
3382.3656,2135.12804356397,-2135.12804356397,0.0409,2.59
3382.518,2135.21999101175,-2135.21999101175,0.0508,2.61
3382.6704,2135.31193845952,-2135.31193845952,0.0593,2.61
3382.8228,2135.4038859073,-2135.4038859073,0.0621,2.62
3382.9752,2135.49583335507,-2135.49583335507,0.0629,2.64
3383.1276,2135.58778080285,-2135.58778080285,0.06,2.65
3383.28,2135.67972825063,-2135.67972825063,0.056,2.67
3383.4324,2135.7716756984,-2135.7716756984,0.052,2.7
3383.5848,2135.86362314618,-2135.86362314618,0.048,2.72
3383.7372,2135.95566035104,-2135.95566035104,0.043,2.71
3383.8896,2136.04772451366,-2136.04772451366,0.036,2.7
3384.042,2136.13978867629,-2136.13978867629,0.0323,2.69
3384.1944,2136.23185283891,-2136.23185283891,0.0282,2.69
3384.3468,2136.32391700153,-2136.32391700153,0.0282,2.68
3384.4992,2136.41598116415,-2136.41598116415,0.0311,2.68
3384.6516,2136.50804532677,-2136.50804532677,0.0352,2.68
3384.804,2136.6001094894,-2136.6001094894,0.0557,2.68
3384.9564,2136.69217365202,-2136.69217365202,0.0698,2.67
3385.1088,2136.78423781464,-2136.78423781464,0.1017,2.65
3385.2612,2136.87630197726,-2136.87630197726,0.1214,2.64
3385.4136,2136.96836613988,-2136.96836613988,0.1526,2.6
3385.566,2137.06043030251,-2137.06043030251,0.167,2.54
3385.7184,2137.15249446513,-2137.15249446513,0.1735,2.47
3385.8708,2137.24455862775,-2137.24455862775,0.1789,2.45
3386.0232,2137.33662279037,-2137.33662279037,0.1792,2.41
3386.1756,2137.428686953,-2137.428686953,0.1782,2.39
3386.328,2137.52075111562,-2137.52075111562,0.1791,2.38
3386.4804,2137.61281527824,-2137.61281527824,0.1806,2.37
3386.6328,2137.70487944086,-2137.70487944086,0.1837,2.36
3386.7852,2137.79694360348,-2137.79694360348,0.1879,2.36
3386.9376,2137.88900776611,-2137.88900776611,0.1894,2.36
3387.09,2137.98107192873,-2137.98107192873,0.1906,2.37
3387.2424,2138.07313609135,-2138.07313609135,0.1894,2.37
3387.3948,2138.16520025397,-2138.16520025397,0.1867,2.38
3387.5472,2138.25726441659,-2138.25726441659,0.1849,2.38
3387.6996,2138.34932857922,-2138.34932857922,0.1834,2.39
3387.852,2138.44139274184,-2138.44139274184,0.1841,2.39
3388.0044,2138.53345690446,-2138.53345690446,0.1849,2.39
3388.1568,2138.62552106708,-2138.62552106708,0.1846,2.39
3388.3092,2138.7175852297,-2138.7175852297,0.1848,2.39
3388.4616,2138.80964939233,-2138.80964939233,0.1843,2.39
3388.614,2138.90171355495,-2138.90171355495,0.187,2.39
3388.7664,2138.99377771757,-2138.99377771757,0.1903,2.4
3388.9188,2139.08584188019,-2139.08584188019,0.1928,2.4
3389.0712,2139.17790604281,-2139.17790604281,0.1946,2.41
3389.2236,2139.26997020544,-2139.26997020544,0.1942,2.41
3389.376,2139.36203436806,-2139.36203436806,0.1932,2.41
3389.5284,2139.45409853068,-2139.45409853068,0.1937,2.41
3389.6808,2139.5461626933,-2139.5461626933,0.194,2.4
3389.8332,2139.6382298148,-2139.6382298148,0.1935,2.39
3389.9856,2139.73030996794,-2139.73030996794,0.1916,2.39
3390.138,2139.82239012108,-2139.82239012108,0.1901,2.38
3390.2904,2139.91447027422,-2139.91447027422,0.1906,2.38
3390.4428,2140.00655042735,-2140.00655042735,0.1916,2.38
3390.5952,2140.09863058049,-2140.09863058049,0.1949,2.38
3390.7476,2140.19071073363,-2140.19071073363,0.1976,2.38
3390.9,2140.28279088677,-2140.28279088677,0.2003,2.38
3391.0524,2140.37487103991,-2140.37487103991,0.1994,2.38
3391.2048,2140.46695119305,-2140.46695119305,0.196,2.38
3391.3572,2140.55903134619,-2140.55903134619,0.192,2.39
3391.5096,2140.65111149932,-2140.65111149932,0.1902,2.39
3391.662,2140.74319165246,-2140.74319165246,0.1886,2.39
3391.8144,2140.8352718056,-2140.8352718056,0.1896,2.39
3391.9668,2140.92735195874,-2140.92735195874,0.1915,2.39
3392.1192,2141.01943211188,-2141.01943211188,0.1943,2.39
3392.2716,2141.11151226502,-2141.11151226502,0.1973,2.39
3392.424,2141.20359241816,-2141.20359241816,0.1972,2.4
3392.5764,2141.2956725713,-2141.2956725713,0.1955,2.4
3392.7288,2141.38775272443,-2141.38775272443,0.1926,2.4
3392.8812,2141.47983287757,-2141.47983287757,0.1882,2.4
3393.0336,2141.57191303071,-2141.57191303071,0.1857,2.4
3393.186,2141.66399318385,-2141.66399318385,0.1821,2.39
3393.3384,2141.75607333699,-2141.75607333699,0.1834,2.39
3393.4908,2141.84815349013,-2141.84815349013,0.1878,2.38
3393.6432,2141.94023364327,-2141.94023364327,0.1914,2.38
3393.7956,2142.03231379641,-2142.03231379641,0.1958,2.38
3393.948,2142.12439394954,-2142.12439394954,0.199,2.38
3394.1004,2142.21647410268,-2142.21647410268,0.2029,2.39
3394.2528,2142.30855425582,-2142.30855425582,0.2032,2.4
3394.4052,2142.40063440896,-2142.40063440896,0.2022,2.4
3394.5576,2142.4927145621,-2142.4927145621,0.2005,2.41
3394.71,2142.58479471524,-2142.58479471524,0.1972,2.4
3394.8624,2142.67687486838,-2142.67687486838,0.1967,2.4
3395.0148,2142.76895502151,-2142.76895502151,0.1953,2.4
3395.1672,2142.86103517465,-2142.86103517465,0.1956,2.4
3395.3196,2142.95311532779,-2142.95311532779,0.198,2.4
3395.472,2143.04519548093,-2143.04519548093,0.1982,2.4
3395.6244,2143.13727563407,-2143.13727563407,0.1976,2.4
3395.7768,2143.22935578721,-2143.22935578721,0.1964,2.4
3395.9292,2143.32143594035,-2143.32143594035,0.1931,2.4
3396.0816,2143.41352564737,-2143.41352564737,0.1905,2.4
3396.234,2143.50562169585,-2143.50562169585,0.1888,2.4
3396.3864,2143.59771774432,-2143.59771774432,0.1866,2.39
3396.5388,2143.6898137928,-2143.6898137928,0.1835,2.39
3396.6912,2143.78190984127,-2143.78190984127,0.1858,2.38
3396.8436,2143.87400588975,-2143.87400588975,0.1888,2.38
3396.996,2143.96610193822,-2143.96610193822,0.1906,2.38
3397.1484,2144.0581979867,-2144.0581979867,0.195,2.38
3397.3008,2144.15029403517,-2144.15029403517,0.1976,2.39
3397.4532,2144.24239008365,-2144.24239008365,0.1991,2.39
3397.6056,2144.33448613212,-2144.33448613212,0.1991,2.39
3397.758,2144.4265821806,-2144.4265821806,0.1982,2.39
3397.9104,2144.51867822907,-2144.51867822907,0.1973,2.39
3398.0628,2144.61077427755,-2144.61077427755,0.197,2.38
3398.2152,2144.70287032602,-2144.70287032602,0.1941,2.38
3398.3676,2144.7949663745,-2144.7949663745,0.1915,2.38
3398.52,2144.88706242297,-2144.88706242297,0.1946,2.38
3398.6724,2144.97915847145,-2144.97915847145,0.1975,2.38
3398.8248,2145.07125451992,-2145.07125451992,0.201,2.38
3398.9772,2145.1633505684,-2145.1633505684,0.205,2.39
3399.1296,2145.25544661687,-2145.25544661687,0.2017,2.39
3399.282,2145.34754266535,-2145.34754266535,0.1985,2.39
3399.4344,2145.43963871382,-2145.43963871382,0.1933,2.4
3399.5868,2145.5317347623,-2145.5317347623,0.1889,2.4
3399.7392,2145.62383081077,-2145.62383081077,0.187,2.4
3399.8916,2145.71592685925,-2145.71592685925,0.1869,2.4
3400.044,2145.80802290772,-2145.80802290772,0.187,2.4
3400.1964,2145.9001189562,-2145.9001189562,0.187,2.39
3400.3488,2145.99221500467,-2145.99221500467,0.1874,2.39
3400.5012,2146.08431105315,-2146.08431105315,0.1879,2.38
3400.6536,2146.17640710162,-2146.17640710162,0.1895,2.38
3400.806,2146.2685031501,-2146.2685031501,0.1907,2.38
3400.9584,2146.36059919857,-2146.36059919857,0.1898,2.38
3401.1108,2146.45269524705,-2146.45269524705,0.187,2.39
3401.2632,2146.54479129552,-2146.54479129552,0.186,2.39
3401.4156,2146.636887344,-2146.636887344,0.185,2.39
3401.568,2146.72898339247,-2146.72898339247,0.1849,2.4
3401.7204,2146.82107944095,-2146.82107944095,0.1847,2.4
3401.8728,2146.91317548942,-2146.91317548942,0.1849,2.41
3402.0252,2147.0052715379,-2147.0052715379,0.1857,2.41
3402.1776,2147.09736785593,-2147.09736785593,0.186,2.41
3402.33,2147.18947970454,-2147.18947970454,0.1858,2.41
3402.4824,2147.28159155316,-2147.28159155316,0.1866,2.4
3402.6348,2147.37370340177,-2147.37370340177,0.1884,2.4
3402.7872,2147.46581525038,-2147.46581525038,0.1898,2.39
3402.9396,2147.557927099,-2147.557927099,0.1909,2.39
3403.092,2147.65003894761,-2147.65003894761,0.194,2.38
3403.2444,2147.74215079623,-2147.74215079623,0.1981,2.38
3403.3968,2147.83426264484,-2147.83426264484,0.1991,2.38
3403.5492,2147.92637449346,-2147.92637449346,0.1995,2.38
