DEPT,SSTVD,Z,NEU,GGKP
2543.8368977,2108.67647967439,-2108.67647967439,0.2586,2.52
2543.9892977,2108.82884468514,-2108.82884468514,0.2668,2.43
2544.1416977,2108.98120969589,-2108.98120969589,0.2415,2.4
2544.2940977,2109.13357470664,-2109.13357470664,0.2063,2.36
2544.4464977,2109.28593971739,-2109.28593971739,0.1921,2.32
2544.5988977,2109.43830472814,-2109.43830472814,0.2066,2.34
2544.7512977,2109.59066973889,-2109.59066973889,0.2216,2.36
2544.9036977,2109.74303474964,-2109.74303474964,0.2219,2.37
2545.0560977,2109.89539976039,-2109.89539976039,0.2217,2.37
2545.2084977,2110.04776477115,-2110.04776477115,0.2152,2.36
2545.3608977,2110.2001297819,-2110.2001297819,0.2069,2.34
2545.5132977,2110.35249479265,-2110.35249479265,0.1972,2.4
2545.6656977,2110.5048598034,-2110.5048598034,0.1938,2.44
2545.8180977,2110.65722481415,-2110.65722481415,0.2018,2.43
2545.9704977,2110.8095898249,-2110.8095898249,0.2064,2.4
2546.1228977,2110.96195483565,-2110.96195483565,0.2019,2.34
2546.2752977,2111.1143198464,-2111.1143198464,0.1981,2.33
2546.4276977,2111.26668485715,-2111.26668485715,0.1997,2.36
2546.5800977,2111.4190498679,-2111.4190498679,0.2009,2.31
2546.7324977,2111.57141487865,-2111.57141487865,0.2033,2.31
2546.8848977,2111.7237798894,-2111.7237798894,0.2069,2.33
2547.0372977,2111.87614490015,-2111.87614490015,0.217,2.36
2547.1896977,2112.0285099109,-2112.0285099109,0.2213,2.38
2547.3420977,2112.18087492166,-2112.18087492166,0.2208,2.31
2547.4944977,2112.33323993241,-2112.33323993241,0.2251,2.35
2547.6468977,2112.48560494316,-2112.48560494316,0.2141,2.41
2547.7992977,2112.63796995391,-2112.63796995391,0.1917,2.37
2547.9516977,2112.79033496466,-2112.79033496466,0.1868,2.44
2548.1040977,2112.94269997541,-2112.94269997541,0.1935,2.45
2548.2564977,2113.09506498616,-2113.09506498616,0.1951,2.43
2548.4088977,2113.24742999691,-2113.24742999691,0.1962,2.37
2548.5612977,2113.39979500766,-2113.39979500766,0.1916,2.42
2548.7136977,2113.55216001841,-2113.55216001841,0.1734,2.53
2548.8660977,2113.70452502916,-2113.70452502916,0.1666,2.55
2549.0184977,2113.85689003991,-2113.85689003991,0.1746,2.46
2549.1708977,2114.00925505066,-2114.00925505066,0.1802,2.42
2549.3232977,2114.16162006141,-2114.16162006141,0.1795,2.41
2549.4756977,2114.31398507217,-2114.31398507217,0.1746,2.4
2549.6280977,2114.46635008292,-2114.46635008292,0.1764,2.39
2549.7804977,2114.61871509367,-2114.61871509367,0.1778,2.42
2549.9328977,2114.77108010442,-2114.77108010442,0.1633,2.49
2550.0852977,2114.92344553582,-2114.92344553582,0.1364,2.54
2550.2376977,2115.07581160974,-2115.07581160974,0.1146,2.54
2550.3900977,2115.22817768366,-2115.22817768366,0.1154,2.52
2550.5424977,2115.38054375759,-2115.38054375759,0.1357,2.43
2550.6948977,2115.53290983151,-2115.53290983151,0.1602,2.38
2550.8472977,2115.68527590544,-2115.68527590544,0.1867,2.37
2550.9996977,2115.83764197936,-2115.83764197936,0.1935,2.42
2551.1520977,2115.99000805328,-2115.99000805328,0.1862,2.36
2551.3044977,2116.14237412721,-2116.14237412721,0.1917,2.33
2551.4568977,2116.29474020113,-2116.29474020113,0.2042,2.34
2551.6092977,2116.44710627505,-2116.44710627505,0.2058,2.39
2551.7616977,2116.59947234898,-2116.59947234898,0.1944,2.35
2551.9140977,2116.7518384229,-2116.7518384229,0.1849,2.35
2552.0664977,2116.90420449682,-2116.90420449682,0.1832,2.36
2552.2188977,2117.05657057075,-2117.05657057075,0.1937,2.35
2552.3712977,2117.20893664467,-2117.20893664467,0.2041,2.31
2552.5236977,2117.3613027186,-2117.3613027186,0.2076,2.37
2552.6760977,2117.51366879252,-2117.51366879252,0.2096,2.4
2552.8284977,2117.66603486644,-2117.66603486644,0.2068,2.37
2552.9808977,2117.81840094037,-2117.81840094037,0.2032,2.41
2553.1332977,2117.97076701429,-2117.97076701429,0.2065,2.36
2553.2856977,2118.12313308821,-2118.12313308821,0.1996,2.34
2553.4380977,2118.27549916214,-2118.27549916214,0.1905,2.34
2553.5904977,2118.42786523606,-2118.42786523606,0.1945,2.32
2553.7428977,2118.58023130998,-2118.58023130998,0.1988,2.38
2553.8952977,2118.73259738391,-2118.73259738391,0.1971,2.37
2554.0476977,2118.88496345783,-2118.88496345783,0.1979,2.35
2554.2000977,2119.03732953176,-2119.03732953176,0.2044,2.41
2554.3524977,2119.18969560568,-2119.18969560568,0.1954,2.39
2554.5048977,2119.3420616796,-2119.3420616796,0.1853,2.39
2554.6572977,2119.49442775353,-2119.49442775353,0.1879,2.37
2554.8096977,2119.64679382745,-2119.64679382745,0.1861,2.3
2554.9620977,2119.79915990137,-2119.79915990137,0.18,2.36
2555.1144977,2119.9515259753,-2119.9515259753,0.1773,2.36
2555.2668977,2120.10389204922,-2120.10389204922,0.1837,2.32
2555.4192977,2120.25625812314,-2120.25625812314,0.1882,2.29
2555.5716977,2120.40862419707,-2120.40862419707,0.1807,2.37
2555.7240977,2120.56099027099,-2120.56099027099,0.1745,2.37
2555.8764977,2120.71335634492,-2120.71335634492,0.1806,2.37
2556.0288977,2120.86572241884,-2120.86572241884,0.187,2.4
2556.1812977,2121.01808849276,-2121.01808849276,0.1938,2.45
2556.3336977,2121.17045456669,-2121.17045456669,0.2038,2.41
2556.4860977,2121.32282064061,-2121.32282064061,0.2044,2.42
2556.6384977,2121.47518671453,-2121.47518671453,0.2065,2.47
2556.7908977,2121.62755278846,-2121.62755278846,0.2124,2.51
2556.9432977,2121.77991886238,-2121.77991886238,0.2174,2.51
2557.0956977,2121.9322849363,-2121.9322849363,0.2295,2.52
2557.2480977,2122.08465179488,-2122.08465179488,0.2296,2.51
2557.4004977,2122.23701880232,-2122.23701880232,0.2152,2.43
2557.5528977,2122.38938580975,-2122.38938580975,0.2064,2.37
2557.7052977,2122.54175281719,-2122.54175281719,0.1915,2.38
2557.8576977,2122.69411982463,-2122.69411982463,0.1667,2.44
2558.0100977,2122.84648683207,-2122.84648683207,0.1454,2.55
2558.1624977,2122.9988538395,-2122.9988538395,0.1247,2.58
2558.3148977,2123.15122084694,-2123.15122084694,0.1071,2.43
2558.4672977,2123.30358785438,-2123.30358785438,0.1028,2.36
2558.6196977,2123.45595486181,-2123.45595486181,0.1078,2.47
2558.7720977,2123.60832186925,-2123.60832186925,0.1038,2.5
2558.9244977,2123.76068887669,-2123.76068887669,0.0887,2.55
2559.0768977,2123.91305588413,-2123.91305588413,0.0662,2.6
2559.2292977,2124.06542289156,-2124.06542289156,0.0461,2.62
2559.3816977,2124.217789899,-2124.217789899,0.0399,2.63
2559.5340977,2124.37015690644,-2124.37015690644,0.0411,2.6
2559.6864977,2124.52252391387,-2124.52252391387,0.0443,2.6
2559.8388977,2124.67489092131,-2124.67489092131,0.0509,2.61
2559.9912977,2124.82725792875,-2124.82725792875,0.0681,2.56
2560.1436977,2124.97962493619,-2124.97962493619,0.0979,2.52
2560.2960977,2125.13199194362,-2125.13199194362,0.1322,2.47
2560.4484977,2125.28435895106,-2125.28435895106,0.1614,2.43
2560.6008977,2125.4367259585,-2125.4367259585,0.1805,2.41
2560.7532977,2125.58909296593,-2125.58909296593,0.187,2.37
2560.9056977,2125.74145997337,-2125.74145997337,0.1878,2.35
2561.0580977,2125.89382698081,-2125.89382698081,0.186,2.33
2561.2104977,2126.04619398825,-2126.04619398825,0.1841,2.32
2561.3628977,2126.19856099568,-2126.19856099568,0.1848,2.34
2561.5152977,2126.35092800312,-2126.35092800312,0.1933,2.37
2561.6676977,2126.50329501056,-2126.50329501056,0.2078,2.36
2561.8200977,2126.65566201799,-2126.65566201799,0.2205,2.33
2561.9724977,2126.80802902543,-2126.80802902543,0.2161,2.36
2562.1248977,2126.96039603287,-2126.96039603287,0.2002,2.36
2562.2772977,2127.11276304031,-2127.11276304031,0.189,2.33
2562.4296977,2127.26513004774,-2127.26513004774,0.1768,2.3
2562.5820977,2127.41749705518,-2127.41749705518,0.1723,2.35
2562.7344977,2127.56986406262,-2127.56986406262,0.1759,2.39
2562.8868977,2127.72223107006,-2127.72223107006,0.1813,2.43
2563.0392977,2127.87459807749,-2127.87459807749,0.1813,2.46
2563.1916977,2128.02696508493,-2128.02696508493,0.1805,2.4
2563.3440977,2128.17933209237,-2128.17933209237,0.1882,2.39
2563.4964977,2128.3316990998,-2128.3316990998,0.1959,2.34
2563.6488977,2128.48406610724,-2128.48406610724,0.2001,2.32
2563.8012977,2128.63643311468,-2128.63643311468,0.204,2.4
2563.9536977,2128.78880012212,-2128.78880012212,0.2037,2.32
2564.1060977,2128.94116712955,-2128.94116712955,0.1983,2.32
2564.2584977,2129.09353444032,-2129.09353444032,0.1946,2.33
2564.4108977,2129.24590223801,-2129.24590223801,0.1978,2.31
2564.5632977,2129.3982700357,-2129.3982700357,0.1987,2.35
2564.7156977,2129.55063783339,-2129.55063783339,0.19,2.36
2564.8680977,2129.70300563108,-2129.70300563108,0.185,2.36
2565.0204977,2129.85537342876,-2129.85537342876,0.1828,2.36
2565.1728977,2130.00774122645,-2130.00774122645,0.1854,2.39
2565.3252977,2130.16010902414,-2130.16010902414,0.2014,2.36
2565.4776977,2130.31247682183,-2130.31247682183,0.2085,2.4
2565.6300977,2130.46484461952,-2130.46484461952,0.2126,2.5
2565.7824977,2130.6172124172,-2130.6172124172,0.2442,2.64
2565.9348977,2130.76958021489,-2130.76958021489,0.2861,2.64
2566.0872977,2130.92194801258,-2130.92194801258,0.3016,2.57
2566.2396977,2131.07431581027,-2131.07431581027,0.3352,2.45
2566.3920977,2131.22668360796,-2131.22668360796,0.3887,2.27
